payment_id,order_ref,captured_at,gross,fee,gst_on_fee,net,settlement_id,method
pay_00096c,order_00096,2026-04-13,4758.91,95.18,17.13,4646.60,setl_0012,netbanking
pay_00097c,order_00097,2026-04-24,9695.37,193.91,34.90,9466.56,setl_0023,upi
pay_00098f,order_,2026-04-10,31959.89,639.20,115.06,31205.63,setl_0009,wallet
pay_00099e,order_00099,2026-04-04,17597.17,351.94,63.35,17181.88,setl_0003,card
pay_00100f,order_00100,2026-04-12,37641.34,752.83,135.51,36753.00,setl_0011,wallet
pay_00102b,order_00102,2026-04-26,5400.26,108.01,19.44,5272.81,setl_0025,upi
pay_00103e,order_00103,2026-04-09,26747.57,468.08,84.25,26195.24,setl_0008,upi
pay_00105g,order_00105,2026-04-25,32622.21,652.44,117.44,31852.33,setl_0024,netbanking
pay_00106f,order_00106,2026-04-27,12892.24,257.84,46.41,12587.99,setl_0026,upi
pay_00107c,order_00107,2026-04-17,16750.71,335.01,60.30,16355.40,setl_0016,netbanking
pay_00108b,order_001,2026-04-06,35980.96,719.62,129.53,35131.81,setl_0005,card
pay_00109d,order_00109,2026-04-08,11350.07,227.00,40.86,11082.21,setl_0007,netbanking
pay_00110f,order_00110,2026-04-10,23636.51,472.73,85.09,23078.69,setl_0009,card
pay_00111d,order_00111,2026-04-08,13060.59,261.21,47.02,12752.36,setl_0007,card
pay_00112a,order_00112,2026-04-21,8633.11,172.66,31.08,8429.37,setl_0020,netbanking
pay_00113a,order_00113,2026-04-02,24834.45,496.69,89.40,24248.36,setl_0001,netbanking
pay_00114e,order_00114,2026-04-17,15110.50,302.21,54.40,14753.89,setl_0016,netbanking
pay_00115c,order_00115,2026-04-07,3340.91,66.82,12.03,3262.06,setl_0006,upi
pay_00116f,order_00116,2026-04-27,27650.65,553.01,99.54,26998.10,setl_0026,wallet
pay_00118b,order_00118,2026-04-22,13163.77,263.28,47.39,12853.10,setl_0021,netbanking
pay_00119f,order_00119,2026-04-14,4507.44,90.15,16.23,4401.06,setl_0013,card
pay_00120a,order_,2026-04-13,34170.63,683.41,123.01,33364.21,setl_0012,netbanking
pay_00122g,order_00122,2026-04-18,12152.49,243.05,43.75,11865.69,setl_0017,card
pay_00123c,order_00123,2026-04-05,29386.73,587.73,105.79,28693.21,setl_0004,netbanking
pay_00124h,order_00124,2026-04-05,3847.82,76.96,13.85,3757.01,setl_0004,card
pay_00125d,order_00125,2026-04-21,18828.00,376.56,67.78,18383.66,setl_0020,card
pay_00128f,order_00128,2026-04-27,3397.46,67.95,12.23,3317.28,setl_0026,wallet
pay_00129f,order_00129,2026-04-10,21108.34,422.17,75.99,20610.18,setl_0009,wallet
pay_00130h,order_00130,2026-04-15,19933.27,398.67,71.76,19462.84,setl_0014,card
pay_00131h,order_00131,2026-04-12,36320.26,726.41,130.75,35463.10,setl_0011,upi
pay_00132b,order_00132,2026-04-24,26516.23,530.32,95.46,25890.45,setl_0023,upi
pay_00133b,order_00133,2026-04-28,5767.41,115.35,20.76,5631.30,setl_0027,card
pay_00134e,order_00134,2026-04-03,29634.40,592.69,106.68,28935.03,setl_0002,card
pay_00135h,order_00135,2026-04-09,42328.09,846.56,152.38,41329.15,setl_0008,netbanking
pay_00136c,order_00136,2026-04-02,16887.47,337.75,60.80,16488.92,setl_0001,card
pay_00138h,order_00138,2026-04-02,30379.46,607.59,109.37,29662.50,setl_0001,netbanking
pay_00139f,order_00139,2026-04-18,33271.62,665.43,119.78,32486.41,setl_0017,netbanking
pay_00140c,order_00140,2026-04-25,7026.11,140.52,25.29,6860.30,setl_0024,netbanking
pay_00141a,order_00141,2026-04-10,26425.88,528.52,95.13,25802.23,setl_0009,netbanking
pay_00142a,order_00142,2026-04-02,11273.91,225.48,33.82,11014.61,setl_0001,netbanking
pay_00143e,order_00143,2026-04-18,19011.20,380.22,68.44,18562.54,setl_0017,card
pay_00144d,order_00144,2026-04-05,1382.80,27.66,4.98,1350.16,setl_0004,netbanking
pay_00145a,order_00145,2026-04-13,22365.04,447.30,80.51,21837.23,setl_0012,wallet
pay_00146d,order_00146,2026-04-20,43616.96,872.34,130.85,42613.77,setl_0019,wallet
pay_00147b,order_00147,2026-04-06,20136.10,352.38,63.43,19720.29,setl_0005,card
pay_00148g,order_00148,2026-04-14,16935.80,338.72,60.97,16536.11,setl_0013,upi
pay_00149a,order_00149,2026-04-24,40290.27,805.81,145.05,39339.41,setl_0023,wallet
pay_00150e,order_00150,2026-04-06,19152.92,383.06,68.95,18700.91,setl_0005,upi
pay_00151e,order_00151,2026-04-09,36777.75,735.56,132.40,35909.79,setl_0008,upi
pay_00152d,order_00152,2026-04-06,22040.30,440.81,79.35,21520.14,setl_0005,netbanking
pay_00153h,order_00153,2026-04-20,20261.84,405.24,72.94,19783.66,setl_0019,wallet
pay_00154e,order_00154,2026-04-24,19813.95,396.28,71.33,19346.34,setl_0023,card
pay_00156c,,2026-04-20,13772.71,275.45,49.58,13447.68,setl_0019,upi
pay_00157b,order_00157,2026-04-03,30683.71,613.67,110.46,29959.58,setl_0002,upi
pay_00158a,order_00158,2026-04-08,17456.33,349.13,62.84,17044.36,setl_0007,netbanking
pay_00159d,order_00159,2026-04-16,8577.29,171.55,30.88,8374.86,setl_0015,netbanking
pay_00160f,order_00160,2026-04-10,4259.76,85.20,15.34,4159.22,setl_0009,netbanking
pay_00161a,order_00161,2026-04-20,2797.90,55.96,10.07,2731.87,setl_0019,card
pay_00162e,order_00162,2026-04-23,7823.36,156.47,23.47,7643.42,setl_0022,upi
pay_00164e,order_00164,2026-04-16,29323.04,586.46,105.56,28631.02,setl_0015,wallet
pay_00165b,order_00165,2026-04-06,9420.02,188.40,33.91,9197.71,setl_0005,netbanking
pay_00166g,order_00166,2026-04-12,8180.63,163.61,29.45,7987.57,setl_0011,netbanking
pay_00167c,order_00167,2026-04-07,25628.31,512.57,92.26,25023.48,setl_0006,card
pay_00168f,order_00168,2026-04-18,3041.40,60.83,10.95,2969.62,setl_0017,netbanking
pay_00169e,order_00169,2026-04-06,39051.43,781.03,140.59,38129.81,setl_0005,card
pay_00170c,order_00170,2026-04-09,25491.29,509.83,91.77,24889.69,setl_0008,netbanking
pay_00171d,order_00171,2026-04-06,20013.98,400.28,72.05,19541.65,setl_0005,upi
pay_00172c,order_00172,2026-04-07,32430.79,648.62,116.75,31665.42,setl_0006,upi
pay_00173g,order_00173,2026-04-21,9163.88,183.28,27.49,8953.11,setl_0020,card
pay_00174c,order_00174,2026-04-17,25047.17,500.94,90.17,24456.06,setl_0016,wallet
pay_00175d,order_00175,2026-04-23,35528.02,710.56,127.90,34689.56,setl_0022,netbanking
pay_00176d,order_00176,2026-04-21,8408.66,168.17,30.27,8210.22,setl_0020,wallet
pay_00178f,order_00178,2026-04-17,15555.35,311.11,56.00,15188.24,setl_0016,upi
pay_00179d,order_00179,2026-04-09,18476.22,369.52,66.51,18040.19,setl_0008,card
pay_00180f,order_00180,2026-04-23,40106.58,802.13,144.38,39160.07,setl_0022,card
pay_00181b,order_00181,2026-04-13,43299.00,865.98,155.88,42277.14,setl_0012,netbanking
pay_00183f,order_00183,2026-04-14,35477.04,709.54,127.72,34639.78,setl_0013,card
pay_00184c,order_00184,2026-04-26,33079.21,661.58,119.08,32298.55,setl_0025,wallet
pay_00185c,order_00185,2026-04-21,19156.14,383.12,68.96,18704.06,setl_0020,wallet
pay_00186h,order_00186,2026-04-10,10698.69,213.97,38.51,10446.21,setl_0009,netbanking
pay_00187e,order_00187,2026-04-14,15792.56,315.85,56.85,15419.86,setl_0013,wallet
pay_00188f,order_00188,2026-04-20,7364.67,147.29,26.51,7190.87,setl_0019,netbanking
pay_00189f,order_00189,2026-04-26,11976.74,239.53,35.93,11701.28,setl_0025,netbanking
pay_00190d,order_00190,2026-04-09,8714.43,174.29,31.37,8508.77,setl_0008,wallet
pay_00191b,order_00191,2026-04-26,14284.54,285.69,51.42,13947.43,setl_0025,card
pay_00192h,order_001,2026-04-16,18075.18,361.50,65.07,17648.61,setl_0015,card
pay_00193h,order_00193,2026-04-16,41561.27,831.23,149.62,40580.42,setl_0015,card
pay_00194f,order_00194,2026-04-18,753.21,15.06,2.71,735.44,setl_0017,netbanking
pay_00195b,order_00195,2026-04-14,35331.90,706.64,127.20,34498.06,setl_0013,upi
pay_00196b,order_00196,2026-04-22,27919.64,558.39,100.51,27260.74,setl_0021,card
pay_00197f,order_00197,2026-04-23,35061.34,701.23,126.22,34233.89,setl_0022,card
pay_00198e,order_00198,2026-04-10,36705.34,734.11,132.14,35839.09,setl_0009,wallet
pay_00199f,order_00199,2026-04-11,42456.54,849.13,152.84,41454.57,setl_0010,card
pay_00201g,order_00201,2026-04-26,3558.72,71.17,12.81,3474.74,setl_0025,upi
pay_00202a,order_00202,2026-04-07,40049.34,800.99,144.18,39104.17,setl_0006,card
pay_00203h,order_00203,2026-04-21,7161.81,143.24,25.78,6992.79,setl_0020,wallet
pay_00204a,order_00204,2026-04-25,8638.42,172.77,31.10,8434.55,setl_0024,netbanking
pay_00205a,order_00205,2026-04-28,25535.98,510.72,91.93,24933.33,setl_0027,wallet
pay_00207g,order_00207,2026-04-25,35521.03,710.42,106.56,34704.05,setl_0024,card
pay_00208b,,2026-04-16,34795.05,695.90,125.26,33973.89,setl_0015,upi
pay_00209b,order_00209,2026-04-01,10405.49,208.11,37.46,10159.92,setl_0000,card
pay_00210f,order_00210,2026-04-15,15920.11,318.40,57.31,15544.40,setl_0014,netbanking
pay_00211e,order_00211,2026-04-21,41982.38,839.65,151.14,40991.59,setl_0020,upi
pay_00212e,order_00212,2026-04-21,6883.09,137.66,24.78,6720.65,setl_0020,upi
pay_00213h,order_00213,2026-04-11,31032.63,620.65,111.72,30300.26,setl_0010,netbanking
pay_00214g,order_00214,2026-04-21,13958.47,279.17,50.25,13629.05,setl_0020,netbanking
pay_00216e,order_00216,2026-04-11,1499.28,29.99,5.40,1463.89,setl_0010,wallet
pay_00217e,order_00217,2026-04-20,19857.97,397.16,71.49,19389.32,setl_0019,upi
pay_00218c,order_00218,2026-04-10,11999.23,239.98,43.20,11716.05,setl_0009,netbanking
pay_00219h,order_00219,2026-04-18,7334.64,146.69,26.40,7161.55,setl_0017,netbanking
pay_00220h,order_00220,2026-04-20,5027.53,100.55,18.10,4908.88,setl_0019,wallet
pay_00221f,order_00221,2026-04-15,7555.89,151.12,27.20,7377.57,setl_0014,netbanking
pay_00222d,order_00222,2026-04-16,42659.50,853.19,153.57,41652.74,setl_0015,netbanking
pay_00223c,order_00223,2026-04-19,30304.92,606.10,109.10,29589.72,setl_0018,netbanking
pay_00224c,order_00224,2026-04-21,39074.64,781.49,140.67,38152.48,setl_0020,upi
pay_00225h,order_00225,2026-04-04,3015.81,60.32,10.86,2944.63,setl_0003,wallet
pay_00226c,order_00226,2026-04-04,37684.48,753.69,135.66,36795.13,setl_0003,wallet
pay_00228b,order_00228,2026-04-12,38642.39,772.85,139.11,37730.43,setl_0011,netbanking
pay_00229g,order_00229,2026-04-11,19761.89,395.24,71.14,19295.51,setl_0010,card
pay_00230f,order_00230,2026-04-06,3439.65,68.79,12.38,3358.48,setl_0005,netbanking
pay_00231h,order_00231,2026-04-26,43260.60,865.21,155.74,42239.65,setl_0025,netbanking
pay_00232b,order_00232,2026-04-19,37216.26,744.33,133.98,36337.95,setl_0018,wallet
pay_00233c,order_00233,2026-04-13,14340.27,286.81,51.63,14001.83,setl_0012,upi
pay_00235c,order_00235,2026-04-28,31496.51,629.93,113.39,30753.19,setl_0027,upi
pay_00236f,order_00,2026-04-21,6503.37,130.07,23.41,6349.89,setl_0020,netbanking
pay_00237h,order_00237,2026-04-08,4957.55,99.15,17.85,4840.55,setl_0007,wallet
pay_00238e,order_00238,2026-04-14,20898.47,417.97,75.23,20405.27,setl_0013,wallet
pay_00239h,order_00239,2026-04-04,26880.38,537.61,96.77,26246.00,setl_0003,wallet
pay_00241d,order_00241,2026-04-12,36442.77,728.86,131.19,35582.72,setl_0011,upi
pay_00242a,order_00242,2026-04-27,24821.61,496.43,89.36,24235.82,setl_0026,upi
pay_00243f,order_00243,2026-04-26,44372.29,887.45,159.74,43325.10,setl_0025,card
pay_00244d,order_,2026-04-05,15309.38,306.19,55.11,14948.08,setl_0004,wallet
pay_00245c,order_00245,2026-04-25,23174.42,463.49,83.43,22627.50,setl_0024,netbanking
pay_00247f,order_00247,2026-04-14,4843.92,96.88,17.44,4729.60,setl_0013,upi
pay_00248h,order_00248,2026-04-01,34551.75,691.04,124.39,33736.32,setl_0000,netbanking
pay_00249a,order_00249,2026-04-02,13913.37,278.27,50.09,13585.01,setl_0001,upi
pay_00250f,order_00250,2026-04-12,20728.10,414.56,74.62,20238.92,setl_0011,netbanking
pay_00251h,order_00251,2026-04-28,9232.57,184.65,33.24,9014.68,setl_0027,upi
pay_00252c,order_00252,2026-04-08,7630.14,152.60,27.47,7450.07,setl_0007,upi
pay_00253h,order_,2026-04-04,16563.91,331.28,59.63,16173.00,setl_0003,upi
pay_00254e,order_00254,2026-04-09,10521.11,210.42,37.88,10272.81,setl_0008,card
pay_00255h,order_00255,2026-04-28,19243.92,384.88,69.28,18789.76,setl_0027,wallet
pay_00257d,order_00257,2026-04-25,30671.01,613.42,110.42,29947.17,setl_0024,netbanking
pay_00258a,order_00258,2026-04-27,33803.09,676.06,121.69,33005.34,setl_0026,card
pay_00259a,order_00259,2026-04-28,35610.34,712.21,128.20,34769.93,setl_0027,card
pay_00260g,order_00260,2026-04-17,1946.17,38.92,7.01,1900.24,setl_0016,upi
pay_00261e,order_00261,2026-04-02,22493.57,449.87,80.98,21962.72,setl_0001,netbanking
pay_00266c,order_00266,2026-04-18,12648.30,252.97,45.53,12349.80,setl_0017,card
pay_00267e,order_00267,2026-04-24,7568.15,151.36,27.24,7389.55,setl_0023,card
pay_00268e,order_00268,2026-04-18,30969.56,619.39,111.49,30238.68,setl_0017,netbanking
pay_00269g,order_00269,2026-04-08,16037.03,320.74,57.73,15658.56,setl_0007,card
pay_00270e,order_00270,2026-04-11,27502.05,550.04,99.01,26853.00,setl_0010,card
pay_00271f,order_00271,2026-04-18,5802.49,116.05,20.89,5665.55,setl_0017,netbanking
pay_00272c,,2026-04-24,9363.07,187.26,33.71,9142.10,setl_0023,netbanking
pay_00274b,order_00274,2026-04-09,10875.40,190.32,34.26,10650.82,setl_0008,wallet
pay_00275e,order_00275,2026-04-19,12751.13,255.02,45.90,12450.21,setl_0018,wallet
pay_00276g,order_00276,2026-04-10,29778.80,595.58,107.20,29076.02,setl_0009,wallet
pay_00277e,order_00277,2026-04-13,37447.01,748.94,134.81,36563.26,setl_0012,upi
pay_00278d,order_00278,2026-04-27,27888.20,557.76,100.40,27230.04,setl_0026,upi
pay_00279h,order_00279,2026-04-02,21719.86,434.40,78.19,21207.27,setl_0001,wallet
pay_00280g,order_00280,2026-04-17,43590.38,871.81,156.93,42561.64,setl_0016,wallet
pay_00281b,order_00281,2026-04-01,5925.81,118.52,21.33,5785.96,setl_0000,card
pay_00282h,order_00282,2026-04-07,35533.94,710.68,127.92,34695.34,setl_0006,upi
pay_00283b,order_00,2026-04-06,30625.89,612.52,110.25,29903.12,setl_0005,wallet
pay_00284d,order_00284,2026-04-21,13318.75,266.38,47.95,13004.42,setl_0020,upi
pay_00285a,order_00285,2026-04-12,3748.52,74.97,13.49,3660.06,setl_0011,netbanking
pay_00286a,order_00286,2026-04-13,8461.54,169.23,30.46,8261.85,setl_0012,card
pay_00287b,order_00287,2026-04-19,16854.34,337.09,60.68,16456.57,setl_0018,upi
pay_00288h,order_00288,2026-04-03,14504.57,290.09,52.22,14162.26,setl_0002,upi
pay_00289d,order_00289,2026-04-22,27279.26,545.59,98.21,26635.46,setl_0021,upi
pay_00290g,order_00290,2026-04-12,16276.00,366.21,65.92,15843.87,setl_0011,upi
pay_00291d,order_00291,2026-04-15,4777.87,95.56,17.20,4665.11,setl_0014,netbanking
pay_00292e,order_00292,2026-04-01,38404.35,768.09,138.26,37498.00,setl_0000,wallet
pay_00293g,order_00293,2026-04-22,18771.23,375.42,67.58,18328.23,setl_0021,upi
pay_00294c,order_00294,2026-04-06,14453.28,361.33,65.04,14026.91,setl_0005,upi
pay_00295f,,2026-04-11,44973.23,899.46,161.90,43911.87,setl_0010,card
pay_00296f,order_00296,2026-04-13,16237.64,324.75,58.46,15854.43,setl_0012,card
pay_00298h,order_00298,2026-04-18,10919.17,218.38,39.31,10661.48,setl_0017,card
pay_00299d,order_00299,2026-04-24,34185.62,683.71,123.07,33378.84,setl_0023,card
pay_orphan_0,,2026-04-09,7907.90,158.16,28.47,7721.27,setl_0008,wallet
pay_orphan_1,,2026-04-12,6661.05,133.22,23.98,6503.85,setl_0011,card
pay_orphan_2,,2026-04-20,4737.82,94.76,17.06,4626.00,setl_0019,card
