order_id,created_at,customer,amount,status,gateway_payment_id
order_00032,2026-04-14,ORBIT MOBILITY,16540.46,captured,pay_00032d
order_00033,2026-04-09,ORBIT MOBILITY,35348.32,captured,pay_00033a
order_00034,2026-04-27,KHANNA ELECTRONICS,42280.36,captured,pay_00034c
order_00035,2026-04-25,TATVA WELLNESS,12765.34,captured,
order_00036,2026-04-26,TATVA WELLNESS,9100.10,captured,pay_00036a
order_00037,2026-04-18,TATVA WELLNESS,2536.54,captured,pay_00037b
order_00038,2026-04-23,VELOCITY LOGISTICS,23451.00,captured,pay_00038h
order_00039,2026-04-27,GREENLEAF ORGANICS,37740.38,captured,pay_00039b
order_00040,2026-04-07,VELOCITY LOGISTICS,25598.03,captured,pay_00040c
order_00041,2026-04-15,SOUTHERN SPICE FOODS,18619.36,captured,pay_00041b
order_00042,2026-04-23,PIXELWORKS STUDIO,36397.67,captured,pay_00042g
order_00043,2026-04-11,NIMBUS RETAIL,38675.09,captured,pay_00043a
order_00044,2026-04-26,KHANNA ELECTRONICS,19371.48,captured,pay_00044b
order_00045,2026-04-25,MERIDIAN BOOKS,11066.90,captured,pay_00045e
order_00046,2026-04-03,KHANNA ELECTRONICS,23608.44,failed,
order_00047,2026-04-14,NIMBUS RETAIL,6273.53,captured,pay_00047a
order_00048,2026-04-28,ORBIT MOBILITY,10406.05,captured,pay_00048f
order_00049,2026-04-02,VELOCITY LOGISTICS,44399.83,captured,pay_00049b
order_00050,2026-04-17,ACME TRADING PVT LTD,17468.75,captured,pay_00050c
order_00051,2026-04-01,GREENLEAF ORGANICS,42616.33,captured,pay_00051d
order_00052,2026-04-18,KHANNA ELECTRONICS,33173.44,captured,pay_00052e
order_00053,2026-04-12,KHANNA ELECTRONICS,4761.44,captured,pay_00053a
order_00054,2026-04-03,KHANNA ELECTRONICS,32149.67,captured,
order_00055,2026-04-09,PIXELWORKS STUDIO,37597.47,failed,
order_00056,2026-04-11,NIMBUS RETAIL,27338.99,captured,pay_00056e
order_00057,2026-04-09,NIMBUS RETAIL,42373.90,captured,pay_00057d
order_00058,2026-04-13,TATVA WELLNESS,3694.27,captured,pay_00058e
order_00059,2026-04-22,ACME TRADING PVT LTD,32874.00,captured,pay_00059h
order_00060,2026-04-24,SOUTHERN SPICE FOODS,42606.85,captured,pay_00060a
order_00061,2026-04-01,ACME TRADING PVT LTD,3710.64,captured,pay_00061f
order_00062,2026-04-21,TATVA WELLNESS,44779.74,captured,pay_00062h
order_00063,2026-04-24,SOUTHERN SPICE FOODS,39949.12,captured,pay_00063b
order_00064,2026-04-16,VELOCITY LOGISTICS,32290.49,failed,
order_00065,2026-04-25,VELOCITY LOGISTICS,4120.46,captured,pay_00065d
order_00066,2026-04-01,VELOCITY LOGISTICS,40667.38,failed,
order_00067,2026-04-22,MERIDIAN BOOKS,8547.26,captured,pay_00067h
order_00068,2026-04-18,TATVA WELLNESS,16913.30,captured,pay_00068b
order_00069,2026-04-09,VELOCITY LOGISTICS,32650.19,captured,pay_00069d
order_00070,2026-04-05,MERIDIAN BOOKS,42875.56,captured,pay_00070b
order_00071,2026-04-01,MERIDIAN BOOKS,13542.36,failed,
order_00072,2026-04-22,ACME TRADING PVT LTD,38011.51,captured,pay_00072z
order_00073,2026-04-25,VELOCITY LOGISTICS,28575.36,captured,
order_00074,2026-04-12,ACME TRADING PVT LTD,5649.69,captured,pay_00074b
order_00075,2026-04-04,GREENLEAF ORGANICS,4528.99,captured,pay_00075e
order_00076,2026-04-07,TATVA WELLNESS,31517.80,captured,pay_00076g
order_00077,2026-04-24,GREENLEAF ORGANICS,6958.28,failed,
order_00078,2026-04-15,KHANNA ELECTRONICS,11823.30,captured,pay_00078e
order_00079,2026-04-14,SOUTHERN SPICE FOODS,29027.52,captured,pay_00079e
order_00080,2026-04-16,KHANNA ELECTRONICS,33280.96,failed,
order_00081,2026-04-03,MERIDIAN BOOKS,17636.61,captured,pay_00081h
order_00082,2026-04-05,VELOCITY LOGISTICS,16339.27,captured,pay_00082c
order_00083,2026-04-01,VELOCITY LOGISTICS,34825.63,captured,
order_00084,2026-04-05,MERIDIAN BOOKS,42426.89,captured,pay_00084d
order_00085,2026-04-10,GREENLEAF ORGANICS,2028.59,failed,
order_00086,2026-04-23,TATVA WELLNESS,39899.62,captured,pay_00086h
order_00087,2026-04-15,MERIDIAN BOOKS,21041.77,captured,pay_00087d
order_00088,2026-04-18,KHANNA ELECTRONICS,3516.38,failed,
order_00089,2026-04-08,GREENLEAF ORGANICS,3352.42,captured,pay_00089e
order_00090,2026-04-04,ACME TRADING PVT LTD,6100.54,captured,pay_00090d
order_00091,2026-04-15,GREENLEAF ORGANICS,23569.96,captured,pay_00091d
order_00092,2026-04-02,PIXELWORKS STUDIO,2026.65,captured,pay_00092g
order_00093,2026-04-16,VELOCITY LOGISTICS,3059.29,captured,
order_00094,2026-04-07,VELOCITY LOGISTICS,41780.96,captured,pay_00094e
order_00095,2026-04-04,ORBIT MOBILITY,41786.75,captured,
order_00096,2026-04-13,MERIDIAN BOOKS,4758.91,captured,pay_00096c
order_00097,2026-04-24,MERIDIAN BOOKS,9695.37,captured,pay_00097c
order_00098,2026-04-10,PIXELWORKS STUDIO,31959.89,captured,pay_00098f
order_00099,2026-04-04,MERIDIAN BOOKS,17597.17,captured,
order_00100,2026-04-12,SOUTHERN SPICE FOODS,37641.34,captured,pay_00100f
order_00101,2026-04-02,NIMBUS RETAIL,31703.89,failed,
order_00102,2026-04-26,ORBIT MOBILITY,5400.26,captured,pay_00102b
order_00103,2026-04-09,NIMBUS RETAIL,26747.57,captured,pay_00103e
order_00104,2026-04-27,MERIDIAN BOOKS,19817.12,failed,
order_00105,2026-04-25,ACME TRADING PVT LTD,32622.21,captured,pay_00105g
order_00106,2026-04-27,ORBIT MOBILITY,12892.24,captured,pay_00106f
order_00107,2026-04-17,TATVA WELLNESS,16750.71,captured,
order_00108,2026-04-06,MERIDIAN BOOKS,35980.96,captured,pay_00108b
order_00109,2026-04-08,NIMBUS RETAIL,11350.07,captured,pay_00109d
order_00110,2026-04-10,KHANNA ELECTRONICS,23636.51,captured,pay_00110f
order_00111,2026-04-08,TATVA WELLNESS,13060.59,captured,pay_00111d
order_00112,2026-04-21,MERIDIAN BOOKS,8633.11,captured,pay_00112a
order_00113,2026-04-02,NIMBUS RETAIL,24834.45,captured,pay_00113a
order_00114,2026-04-17,ORBIT MOBILITY,15110.50,captured,
order_00115,2026-04-07,SOUTHERN SPICE FOODS,3340.91,captured,
order_00116,2026-04-27,MERIDIAN BOOKS,27650.65,captured,pay_00116f
order_00117,2026-04-03,GREENLEAF ORGANICS,34438.78,failed,
order_00118,2026-04-22,VELOCITY LOGISTICS,13163.77,captured,pay_00118b
order_00119,2026-04-14,PIXELWORKS STUDIO,4507.44,captured,pay_00119f
order_00120,2026-04-13,GREENLEAF ORGANICS,34170.63,captured,pay_00120a
order_00121,2026-04-15,ACME TRADING PVT LTD,13834.22,failed,
order_00122,2026-04-18,TATVA WELLNESS,12152.49,captured,pay_00122g
order_00123,2026-04-05,SOUTHERN SPICE FOODS,29386.73,captured,pay_00123c
order_00124,2026-04-05,NIMBUS RETAIL,3847.82,captured,pay_00124h
order_00125,2026-04-21,GREENLEAF ORGANICS,18828.00,captured,pay_00125d
order_00126,2026-04-13,SOUTHERN SPICE FOODS,30331.52,failed,
order_00127,2026-04-24,TATVA WELLNESS,16355.09,failed,
order_00128,2026-04-27,VELOCITY LOGISTICS,3397.46,captured,pay_00128f
order_00129,2026-04-10,ORBIT MOBILITY,21108.34,captured,
order_00130,2026-04-15,NIMBUS RETAIL,19933.27,captured,pay_00130h
order_00131,2026-04-12,KHANNA ELECTRONICS,36320.26,captured,
order_00132,2026-04-24,KHANNA ELECTRONICS,26516.23,captured,pay_00132b
order_00133,2026-04-28,KHANNA ELECTRONICS,5767.41,captured,pay_00133b
order_00134,2026-04-03,MERIDIAN BOOKS,29634.40,captured,pay_00134e
order_00135,2026-04-09,PIXELWORKS STUDIO,42328.09,captured,pay_00135h
order_00136,2026-04-02,GREENLEAF ORGANICS,16887.47,captured,pay_00136c
order_00137,2026-04-26,TATVA WELLNESS,22373.51,failed,
order_00138,2026-04-02,NIMBUS RETAIL,30379.46,captured,pay_00138h
order_00139,2026-04-18,PIXELWORKS STUDIO,33271.62,captured,pay_00139f
order_00140,2026-04-25,TATVA WELLNESS,7026.11,captured,pay_00140c
order_00141,2026-04-10,GREENLEAF ORGANICS,26425.88,captured,pay_00141a
order_00142,2026-04-02,NIMBUS RETAIL,11273.91,captured,pay_00142a
order_00143,2026-04-18,MERIDIAN BOOKS,19011.20,captured,pay_00143e
order_00144,2026-04-05,KHANNA ELECTRONICS,1382.80,captured,
order_00145,2026-04-13,ORBIT MOBILITY,22365.04,captured,pay_00145a
order_00146,2026-04-20,ACME TRADING PVT LTD,43616.96,captured,
order_00147,2026-04-06,SOUTHERN SPICE FOODS,20136.10,captured,pay_00147b
order_00148,2026-04-14,VELOCITY LOGISTICS,16935.80,captured,pay_00148g
order_00149,2026-04-24,NIMBUS RETAIL,40290.27,captured,pay_00149a
order_00150,2026-04-06,VELOCITY LOGISTICS,19152.92,captured,pay_00150e
order_00151,2026-04-09,NIMBUS RETAIL,36777.75,captured,pay_00151e
order_00152,2026-04-06,GREENLEAF ORGANICS,22040.30,captured,pay_00152d
order_00153,2026-04-20,ACME TRADING PVT LTD,20261.84,captured,
order_00154,2026-04-24,ORBIT MOBILITY,19813.95,captured,pay_00154e
order_00155,2026-04-05,NIMBUS RETAIL,2959.99,failed,
order_00156,2026-04-20,NIMBUS RETAIL,13772.71,captured,pay_00156x
order_00157,2026-04-03,GREENLEAF ORGANICS,30683.71,captured,pay_00157b
order_00158,2026-04-08,NIMBUS RETAIL,17456.33,captured,pay_00158a
order_00159,2026-04-16,PIXELWORKS STUDIO,8577.29,captured,pay_00159d
order_00160,2026-04-10,MERIDIAN BOOKS,4259.76,captured,pay_00160f
order_00161,2026-04-20,ACME TRADING PVT LTD,2797.90,captured,pay_00161a
order_00162,2026-04-23,ACME TRADING PVT LTD,7823.36,captured,pay_00162e
order_00163,2026-04-12,KHANNA ELECTRONICS,41372.21,failed,
order_00164,2026-04-16,SOUTHERN SPICE FOODS,29323.04,captured,pay_00164e
order_00165,2026-04-06,NIMBUS RETAIL,9420.02,captured,pay_00165b
order_00166,2026-04-12,ACME TRADING PVT LTD,8180.63,captured,pay_00166g
order_00167,2026-04-07,MERIDIAN BOOKS,25628.31,captured,pay_00167c
order_00168,2026-04-18,TATVA WELLNESS,3041.40,captured,pay_00168f
order_00169,2026-04-06,SOUTHERN SPICE FOODS,39051.43,captured,pay_00169e
order_00170,2026-04-09,ORBIT MOBILITY,25491.29,captured,pay_00170c
order_00171,2026-04-06,KHANNA ELECTRONICS,20013.98,captured,pay_00171d
order_00172,2026-04-07,SOUTHERN SPICE FOODS,32430.79,captured,pay_00172c
order_00173,2026-04-21,GREENLEAF ORGANICS,9163.88,captured,pay_00173g
order_00174,2026-04-17,SOUTHERN SPICE FOODS,25047.17,captured,
order_00175,2026-04-23,PIXELWORKS STUDIO,35528.02,captured,pay_00175d
order_00176,2026-04-21,VELOCITY LOGISTICS,8408.66,captured,pay_00176d
order_00177,2026-04-16,GREENLEAF ORGANICS,38383.48,failed,
order_00178,2026-04-17,NIMBUS RETAIL,15555.35,captured,pay_00178f
order_00179,2026-04-09,TATVA WELLNESS,18476.22,captured,pay_00179d
order_00180,2026-04-23,SOUTHERN SPICE FOODS,40106.58,captured,pay_00180f
order_00181,2026-04-13,VELOCITY LOGISTICS,43299.00,captured,pay_00181b
order_00182,2026-04-13,NIMBUS RETAIL,33726.93,failed,
order_00183,2026-04-14,GREENLEAF ORGANICS,35477.04,captured,pay_00183f
order_00184,2026-04-26,SOUTHERN SPICE FOODS,33079.21,captured,pay_00184c
order_00185,2026-04-21,GREENLEAF ORGANICS,19156.14,captured,pay_00185c
order_00186,2026-04-10,GREENLEAF ORGANICS,10698.69,captured,pay_00186h
order_00187,2026-04-14,MERIDIAN BOOKS,15792.56,captured,pay_00187e
order_00188,2026-04-20,NIMBUS RETAIL,7364.67,captured,pay_00188f
order_00189,2026-04-26,NIMBUS RETAIL,11976.74,captured,
order_00190,2026-04-09,SOUTHERN SPICE FOODS,8714.43,captured,pay_00190d
order_00191,2026-04-26,VELOCITY LOGISTICS,14284.54,captured,pay_00191b
order_00192,2026-04-16,SOUTHERN SPICE FOODS,18075.18,captured,pay_00192h
order_00193,2026-04-16,MERIDIAN BOOKS,41561.27,captured,pay_00193h
order_00194,2026-04-18,MERIDIAN BOOKS,753.21,captured,pay_00194f
order_00195,2026-04-14,ACME TRADING PVT LTD,35331.90,captured,pay_00195b
order_00196,2026-04-22,ACME TRADING PVT LTD,27919.64,captured,pay_00196b
order_00197,2026-04-23,TATVA WELLNESS,35061.34,captured,pay_00197f
order_00198,2026-04-10,MERIDIAN BOOKS,36705.34,captured,pay_00198e
order_00199,2026-04-11,PIXELWORKS STUDIO,42456.54,captured,pay_00199f
order_00200,2026-04-11,NIMBUS RETAIL,25299.35,failed,
order_00201,2026-04-26,ACME TRADING PVT LTD,3558.72,captured,pay_00201g
order_00202,2026-04-07,ORBIT MOBILITY,40049.34,captured,pay_00202a
order_00203,2026-04-21,ACME TRADING PVT LTD,7161.81,captured,pay_00203h
order_00204,2026-04-25,TATVA WELLNESS,8638.42,captured,pay_00204a
order_00205,2026-04-28,ACME TRADING PVT LTD,25535.98,captured,pay_00205a
order_00206,2026-04-19,NIMBUS RETAIL,44000.45,failed,
order_00207,2026-04-25,ORBIT MOBILITY,35521.03,captured,pay_00207g
order_00208,2026-04-16,GREENLEAF ORGANICS,34795.05,captured,pay_00208x
order_00209,2026-04-01,VELOCITY LOGISTICS,10405.49,captured,pay_00209b
order_00210,2026-04-15,NIMBUS RETAIL,15920.11,captured,pay_00210f
order_00211,2026-04-21,ACME TRADING PVT LTD,41982.38,captured,
order_00212,2026-04-21,MERIDIAN BOOKS,6883.09,captured,pay_00212e
order_00213,2026-04-11,NIMBUS RETAIL,31032.63,captured,pay_00213h
order_00214,2026-04-21,VELOCITY LOGISTICS,13958.47,captured,pay_00214g
order_00215,2026-04-10,ORBIT MOBILITY,23679.30,failed,
order_00216,2026-04-11,GREENLEAF ORGANICS,1499.28,captured,pay_00216e
order_00217,2026-04-20,KHANNA ELECTRONICS,19857.97,captured,pay_00217e
order_00218,2026-04-10,MERIDIAN BOOKS,11999.23,captured,pay_00218c
order_00219,2026-04-18,SOUTHERN SPICE FOODS,7334.64,captured,pay_00219h
order_00220,2026-04-20,ACME TRADING PVT LTD,5027.53,captured,pay_00220h
order_00221,2026-04-15,VELOCITY LOGISTICS,7555.89,captured,pay_00221f
order_00222,2026-04-16,VELOCITY LOGISTICS,42659.50,captured,pay_00222d
order_00223,2026-04-19,NIMBUS RETAIL,30304.92,captured,pay_00223c
order_00224,2026-04-21,ORBIT MOBILITY,39074.64,captured,pay_00224c
order_00225,2026-04-04,VELOCITY LOGISTICS,3015.81,captured,pay_00225h
order_00226,2026-04-04,KHANNA ELECTRONICS,37684.48,captured,pay_00226c
order_00227,2026-04-03,TATVA WELLNESS,2507.48,failed,
order_00228,2026-04-12,NIMBUS RETAIL,38642.39,captured,pay_00228b
order_00229,2026-04-11,SOUTHERN SPICE FOODS,19761.89,captured,pay_00229g
order_00230,2026-04-06,ACME TRADING PVT LTD,3439.65,captured,
order_00231,2026-04-26,SOUTHERN SPICE FOODS,43260.60,captured,pay_00231h
order_00232,2026-04-19,PIXELWORKS STUDIO,37216.26,captured,pay_00232b
order_00233,2026-04-13,SOUTHERN SPICE FOODS,14340.27,captured,pay_00233c
order_00234,2026-04-06,ORBIT MOBILITY,18700.26,failed,
order_00235,2026-04-28,GREENLEAF ORGANICS,31496.51,captured,pay_00235c
order_00236,2026-04-21,KHANNA ELECTRONICS,6503.37,captured,pay_00236f
order_00237,2026-04-08,VELOCITY LOGISTICS,4957.55,captured,pay_00237h
order_00238,2026-04-14,VELOCITY LOGISTICS,20898.47,captured,pay_00238e
order_00239,2026-04-04,SOUTHERN SPICE FOODS,26880.38,captured,
order_00240,2026-04-27,SOUTHERN SPICE FOODS,24209.97,failed,
order_00241,2026-04-12,KHANNA ELECTRONICS,36442.77,captured,pay_00241d
order_00242,2026-04-27,MERIDIAN BOOKS,24821.61,captured,pay_00242a
order_00243,2026-04-26,ORBIT MOBILITY,44372.29,captured,pay_00243f
order_00244,2026-04-05,ORBIT MOBILITY,15309.38,captured,pay_00244d
order_00245,2026-04-25,ORBIT MOBILITY,23174.42,captured,pay_00245c
order_00246,2026-04-07,TATVA WELLNESS,1040.91,failed,
order_00247,2026-04-14,MERIDIAN BOOKS,4843.92,captured,pay_00247f
order_00248,2026-04-01,ORBIT MOBILITY,34551.75,captured,pay_00248h
order_00249,2026-04-02,NIMBUS RETAIL,13913.37,captured,pay_00249a
order_00250,2026-04-12,ACME TRADING PVT LTD,20728.10,captured,pay_00250f
order_00251,2026-04-28,KHANNA ELECTRONICS,9232.57,captured,pay_00251h
order_00252,2026-04-08,ACME TRADING PVT LTD,7630.14,captured,pay_00252c
order_00253,2026-04-04,KHANNA ELECTRONICS,16563.91,captured,pay_00253h
order_00254,2026-04-09,TATVA WELLNESS,10521.11,captured,pay_00254e
order_00255,2026-04-28,GREENLEAF ORGANICS,19243.92,captured,pay_00255h
order_00256,2026-04-20,ACME TRADING PVT LTD,44290.81,failed,
order_00257,2026-04-25,ORBIT MOBILITY,30671.01,captured,pay_00257d
order_00258,2026-04-27,PIXELWORKS STUDIO,33803.09,captured,pay_00258a
order_00259,2026-04-28,GREENLEAF ORGANICS,35610.34,captured,
order_00260,2026-04-17,ACME TRADING PVT LTD,1946.17,captured,pay_00260g
order_00261,2026-04-02,NIMBUS RETAIL,22493.57,captured,
order_00262,2026-04-04,SOUTHERN SPICE FOODS,43845.34,failed,
order_00263,2026-04-02,PIXELWORKS STUDIO,24318.16,failed,
order_00264,2026-04-21,ORBIT MOBILITY,14206.15,failed,
order_00265,2026-04-17,ORBIT MOBILITY,22714.99,failed,
order_00266,2026-04-18,VELOCITY LOGISTICS,12648.30,captured,pay_00266c
order_00267,2026-04-24,GREENLEAF ORGANICS,7568.15,captured,pay_00267e
order_00268,2026-04-18,SOUTHERN SPICE FOODS,30969.56,captured,pay_00268e
order_00269,2026-04-08,KHANNA ELECTRONICS,16037.03,captured,pay_00269g
order_00270,2026-04-11,ACME TRADING PVT LTD,27502.05,captured,
order_00271,2026-04-18,MERIDIAN BOOKS,5802.49,captured,pay_00271f
order_00272,2026-04-24,ORBIT MOBILITY,9363.07,captured,pay_00272y
order_00273,2026-04-27,MERIDIAN BOOKS,43632.57,failed,
order_00274,2026-04-09,MERIDIAN BOOKS,10875.40,captured,pay_00274b
order_00275,2026-04-19,MERIDIAN BOOKS,12751.13,captured,pay_00275e
order_00276,2026-04-10,ACME TRADING PVT LTD,29778.80,captured,pay_00276g
order_00277,2026-04-13,SOUTHERN SPICE FOODS,37447.01,captured,pay_00277e
order_00278,2026-04-27,ACME TRADING PVT LTD,27888.20,captured,pay_00278d
order_00279,2026-04-02,ORBIT MOBILITY,21719.86,captured,pay_00279h
order_00280,2026-04-17,PIXELWORKS STUDIO,43590.38,captured,pay_00280g
order_00281,2026-04-01,ORBIT MOBILITY,5925.81,captured,pay_00281b
order_00282,2026-04-07,TATVA WELLNESS,35533.94,captured,pay_00282h
order_00283,2026-04-06,PIXELWORKS STUDIO,30625.89,captured,pay_00283b
order_00284,2026-04-21,ORBIT MOBILITY,13318.75,captured,pay_00284d
order_00285,2026-04-12,ACME TRADING PVT LTD,3748.52,captured,pay_00285a
order_00286,2026-04-13,VELOCITY LOGISTICS,8461.54,captured,pay_00286a
order_00287,2026-04-19,ACME TRADING PVT LTD,16854.34,captured,pay_00287b
order_00288,2026-04-03,ACME TRADING PVT LTD,14504.57,captured,pay_00288h
order_00289,2026-04-22,NIMBUS RETAIL,27279.26,captured,pay_00289d
order_00290,2026-04-12,ORBIT MOBILITY,16276.00,captured,pay_00290g
order_00291,2026-04-15,KHANNA ELECTRONICS,4777.87,captured,pay_00291d
order_00292,2026-04-01,SOUTHERN SPICE FOODS,38404.35,captured,pay_00292e
order_00293,2026-04-22,SOUTHERN SPICE FOODS,18771.23,captured,pay_00293g
order_00294,2026-04-06,PIXELWORKS STUDIO,14453.28,captured,pay_00294c
order_00295,2026-04-11,TATVA WELLNESS,44973.23,captured,pay_00295z
order_00296,2026-04-13,PIXELWORKS STUDIO,16237.64,captured,pay_00296f
order_00297,2026-04-08,VELOCITY LOGISTICS,11092.87,failed,
order_00298,2026-04-18,PIXELWORKS STUDIO,10919.17,captured,pay_00298h
order_00299,2026-04-24,MERIDIAN BOOKS,34185.62,captured,pay_00299d
